Position,Player,Team,Matches,Not _Out,Runs,High-Score,Century,Num_of_4s,No_of_6s
1,Shubman Gill,GT,17,2,890,129,3,85,33
2,Faf Du Plessis,RCB,14,1,730,84,0,60,36
3,Devon Conway,CSK,16,2,672,92,0,77,18
4,Virat Kohli,RCB,14,2,639,101,2,65,16
5,Yashasvi Jaiswal,RR,14,1,625,124,1,82,26
6,Suryakumar Yadav,MI,16,2,605,103,1,65,28
7,Ruturaj Gaikwad,CSK,16,1,590,92,0,46,30
8,David Warner,DC,14,0,516,86,0,69,10
9,Rinku Singh,KKR,14,6,474,67,0,31,29
10,Ishan Kishan,MI,15,0,454,75,0,54,18
11,Cameron Green,MI,16,7,452,100,1,40,22
12,Heinrich Klaasen,SRH,12,2,448,104,1,32,25
13,Shivam Dube,CSK,16,3,418,52,0,12,35
14,Nitish Rana,KKR,14,1,413,75,0,39,20
15,Marcus Stoinis,LSG,15,2,408,89,0,28,27
16,Venkatesh Iyer,KKR,14,0,404,104,1,32,21
17,Glenn Maxwell,RCB,14,2,400,77,0,29,31
18,Jos Buttler,RR,14,0,392,95,0,42,14
19,Kyle Mayers,LSG,13,0,379,73,0,38,22
20,Shikhar Dhawan,PBKS,11,2,373,99,0,49,12
21,Wriddhiman Saha,GT,17,1,371,81,0,47,8
22,Sanju Samson,RR,14,2,362,66,0,25,24
23,Sai Sudharsan,GT,8,1,362,96,0,33,12
24,Nicholas Pooran,LSG,15,3,358,62,0,26,26
25,Simran Singh,PBKS,14,0,358,103,1,38,19
26,Hardik Pandya,GT,16,4,346,66,0,26,15
27,Tilak Varma,MI,11,3,343,84,0,26,23
28,Rohit Sharma,MI,16,0,332,65,0,35,17
29,Ajinkya Rahane,CSK,14,1,326,71,0,24,16
30,Jitesh Sharma,PBKS,14,1,309,49,0,22,21
31,Vijay Shankar,GT,14,2,301,63,0,27,15
32,Shimron Hetmyer,RR,14,5,300,56,0,12,23
33,Jason Roy,KKR,8,0,285,61,0,36,12
34,Axar Patel,DC,14,3,283,54,0,21,15
35,Liam Livingstone,PBKS,9,1,279,94,0,20,19
36,Sam Curran,PBKS,14,3,276,55,0,20,13
37,K L Rahul,LSG,9,1,274,74,0,28,4
38,Rahul Tripathi,SRH,13,1,273,74,0,29,10
39,Mayank Agarwal,SRH,10,0,270,83,0,29,6
40,Devdutt Padikkal,RR,11,1,261,52,0,31,6
41,David Miller,GT,16,5,259,46,0,18,13
42,Aiden Markram,SRH,13,2,248,50,0,18,8
43,Nehal Wadera,MI,14,1,241,64,0,23,12
44,Ayush Badoni,LSG,15,2,238,59,0,13,12
45,Tim David,MI,16,6,231,45,0,12,15
46,Andre Russell,KKR,14,3,227,42,0,13,18
47,Rahmanullah Gurbaz,KKR,11,0,227,81,0,17,15
48,Abhishek Sharma,SRH,11,0,226,67,0,28,6
49,Phil Salt,DC,9,1,218,87,0,24,10
50,Rilee Rossouw,DC,9,2,209,82,0,17,11
51,Ravindra Jadeja,CSK,16,4,190,25,0,11,9
52,Harry Brook,SRH,11,2,190,100,1,23,4
53,Krunal Pandya,LSG,15,4,188,49,0,15,6
54,Atharva Taide,PBKS,7,0,186,66,0,20,6
55,Abdul Samad,SRH,9,4,169,37,0,10,11
56,Manish Pandey,DC,10,0,160,50,0,15,3
57,Ambati Rayudu,CSK,16,2,158,27,0,10,9
58,Shahrukh Khan,PBKS,14,6,156,41,0,13,9
59,Dhruv Jurel,RR,13,4,152,34,0,11,9
60,Quinton De Kock,LSG,4,0,143,70,0,10,8
61,Dinesh Karthik,RCB,13,1,140,30,0,13,5
62,Sikandar Raza,PBKS,7,2,139,57,0,10,6
63,Mahipal Lomror,RCB,12,2,135,54,0,9,8
64,Rashid Khan,GT,17,5,130,79,0,8,13
65,Mitchell Marsh,DC,9,0,128,63,0,11,7
